,USGS
0,10140700
1,10149000
2,10155200
3,10224000
4,10308200
5,10348000
6,10351700
7,12304500
8,12321500
9,12395000
10,12414500
11,13010065
12,13011000
13,13013650
14,13014500
15,13022500
16,13023000
17,13032500
18,13042500
19,13046000
20,13052200
21,13055000
22,13066000
23,13073000
24,13077000
25,13087995
26,13090500
27,13094000
28,13161500
29,13162225
30,13168500
31,13172500
32,13176400
33,13185000
34,13190500
35,13206000
36,13235000
37,13236500
38,13246000
39,13247500
40,13290450
41,13296500
42,13302500
43,13309220
44,13310700
45,13317000
46,13317660
47,13336500
48,13338500
49,13340600
50,13341570
51,13342500
52,PLASPLCO
53,PLAGEOCO
54,CLAFTCCO
55,LAPLODCO
56,LAKATLCO
57,RIOMILCO
58,CONPLACO
59,PLADENCO
60,PLACHECO
61,PLABAICO
62,BOCOROCO
63,CCACCRCO
64,KANJUNCO
65,RIOSFKCO
66,BOCBGRCO
67,BOCPINCO
68,BTBLESCO
69,WILBSLCO
70,NSVBBRCO
71,SVCLYOCO
72,SSVWARCO
73,RCKTARCO
74,BCRMORCO
75,ARKWELCO
76,BOCMIDCO
77,GRABDWCO0
78,
79,09064600
80,07087050
81,07091200
82,07094500
83,07099970
84,09081000
85,09073300
86,09075400
87,09033300
88,09359010
89,06620000
90,06716500
91,06719505
92,09358000
93,09359020
94,09359500
95,08263500
96,08276500
97,08313000
98,08286500
99,09146020
100,09112200
101,06716100
102,09037500
103,06751490
104,07126485
105,06625000
106,08291000
107,08265000
108,09413500
109,06721000
110,06710247
111,06700000
112,08279000
113,09060799
114,07211500
115,07216500
116,08379500
117,08324000
118,08289000
119,09288180
120,08284100
121,09421500
122,385106106571000
123,06746110
124,06647500
125,06224000
126,06207500
127,06620400
128,06660000
129,06632400
130,06630465
131,06233000
132,06623800
133,06630000
134,06652000
135,06309200
136,06311400
137,06278500
138,06279940
139,06280300
140,06282000
141,06278300
142,06639000
143,06298000
144,06220800
145,08276300
146,09492400
147,06892350
148,07169800
149,06775900
150,06461500
151,09076300
152,RFBASALT
153,ESCCREEKCO
154,SFPAYETTEID
155,SFPAYETTESTAIRID
